ra,dec,Mtotal,Mtotal_loerr,Mtotal_uperr,Name,SFR_SED,SFR_SED_loerr,SFR_SED_uperr,AV_old,AV_old_loerr,AV_old_uperr
32.17025902,71.03587499,12609561959.936844,-122536838.59283066,64038158.37444115,HG 20220319D,0.4238,-0.0209,0.0222,0.34,-0.01,0.01
143.98454035,73.284945,25066863724.53641,-121502553.88104248,127303057.33399582,HG 20231120A,0.4019,-0.025,0.0189,0.7162,-0.0068,0.0068
310.197579,72.882749,8873603107.786682,-702746661.9059925,647779122.4273472,HG 20220207C,0.7124,-0.1347,0.1244,0.0956,-0.0181,0.0233
282.67478477,70.24273387,50211130546.99527,-1075007852.1411057,1501901244.7009735,HG 20220509G,0.2542,-0.0396,0.0661,0.0496,-0.0155,0.0184
231.91583664,70.96822656,2890679882.3654776,-18697109.531075478,23390252.405334473,HG 20230124A,0.7524,-0.0381,0.0406,0.028,-0.005,0.0043
282.0582,73.3363,1749041039.9663072,-171395673.9770472,346036012.39887786,HG 20220914A,0.4635,-0.0579,0.0512,0.5838,-0.1131,0.1521
166.786333,72.281392,1959746962.5587142,-142578740.36074567,147425101.62326002,HG 20230628A,0.1358,-0.0323,0.0377,0.201,-0.0706,0.0679
240.2568,70.918,7362070974.947376,-187112837.7554512,214976353.7112484,HG 20220920A,1.6179,-0.2147,0.202,0.5576,-0.028,0.0319
342.21547611,70.68047045,160879237788.8798,-6730790739.59964,10279864503.970154,HG 20221101B,12.2665,-4.3058,4.714,1.4994,-0.0464,0.0589
311.9817,72.5851,10192952491.349295,-1434913018.6842556,1556023058.046009,HG 20220825A,7.9097,-0.9359,1.2597,1.5014,-0.0675,0.06
350.8747,72.1919,13928360536.656805,-1193317951.260889,1027107190.7871895,HG 20220307B,3.1663,-1.0276,1.3512,1.874,-0.0838,0.0672
71.4117499,70.30738825,2995021883.7511263,-306392202.7079811,309434318.18339586,HG 20221113A,0.2431,-0.0687,0.0827,0.2864,-0.1125,0.0959
242.54024906,70.78585344,109420828803.66808,-2214074362.255188,2497186500.5620117,HG 20231123B,4.8479,-0.2127,0.2234,0.481,-0.0138,0.0169
177.78252151,71.69527635,57703213533.293045,-3124291032.722183,3616483438.2753906,HG 20230307A,0.4648,-0.0593,0.0628,0.1021,-0.0416,0.0414
21.206946,72.653211,103466557584.24355,-5251078327.330627,6105546153.945877,HG 20221116A,22.5773,-6.0582,6.233,2.2635,-0.0883,0.0748
280.80140017,70.52418311,91033239967.99078,-3438083604.72258,4202508651.201111,HG 20221012A,0.1824,-0.0719,0.0952,0.2145,-0.0432,0.052
318.04469634,72.82715482,28034963822.309246,-1839491783.743744,985209371.4930038,HG 20220506D,1.197,-0.1698,0.1651,0.1442,-0.0445,0.0477
340.027808,70.922266,19498445997.580414,-951868912.3181763,94511663.34377289,HG 20230501A,4.0955,-0.4467,0.604,3.4266,-0.0224,0.02
235.63014628,71.13366251,27663046068.97507,-2991860725.282898,2606088212.0379753,HG 20230626A,0.9835,-0.242,0.3298,0.2879,-0.06,0.0759
322.572,70.042,11939881044.64273,-456645080.5897732,468067962.7182617,HG 20220208A,0.6764,-0.0796,0.073,0.7248,-0.0375,0.0433
73.945119,69.9287,15275660582.380701,-1282039052.314558,1423706061.7742996,HG 20220726A,0.7068,-0.1642,0.1924,0.2706,-0.1064,0.1054
163.748931,70.350321,31477483141.01311,-636930730.3994789,1106186959.1877594,HG 20220330D,2.0125,-0.0749,0.1225,3.8468,-0.0242,0.0214
274.2278,69.7222,4998043135.782396,-1172167641.6560678,429458962.1807766,HG 20220204A,4.3058,-0.8752,1.3978,1.5444,-0.143,0.1565
167.360311,72.558011,133659551654.64406,-4410662987.5559845,4569713735.969437,HG 20230712A,29.911,-0.7919,0.7313,2.1818,-0.0286,0.0483
134.72107815,73.49101609,9591797467.879684,-1393200982.7040482,2044103061.9678898,HG 20220310F,0.9706,-0.2879,0.3159,0.0401,-0.027,0.0607
156.47317209,3.43683414,6663463144.693575,-105154784.50389862,64754010.52192211,HG 20230216A,20.8078,-0.1683,0.1975,0.8106,-0.0073,0.007
130.873,72.1009,8653663429.563494,-1485450427.8033066,1293517101.2707405,HG 20221027A,2.5508,-0.3049,0.3787,0.2024,-0.0681,0.0569
257.6296,71.6266,16102748130.0942,-1496738507.920494,1283264868.9767761,HG 20221219A,1.7818,-0.2262,0.2406,1.0417,-0.0781,0.0759
219.10648731,70.09531715,18109230641.640568,-1042146113.0341301,1011302604.4047394,HG 20220418A,1.3122,-0.1297,0.1539,0.0169,-0.0123,0.0227
141.9663,72.452,107398941234.12462,-24732367.41859436,24732367.41859436,HG 20221029A,44.9274,-0.0001,0.0001,1.5035,0.0,0.0
